n°HD  RA_h RA_m RA_s  DEC_d DEC_m DEC_s  Mv
99196  11 24 58.9  11 25 49  5.80
99218  20 54 22.3  40 42 11  6.70
99283  11 25 57.1  55 51 2  5.75
99285  11 25 36.4  16 27 23  5.57
99311  12 38 44.6  -18 15 1  6.00
99373  11 26 25.5  33 27 2  6.32
99437  20 47 33.4  80 33 8  5.39
99478  20 55 49.8  47 25 4  5.67
99522  22 8 14.0  -46 57 40  1.74
99578  20 56 12.9  51 4 30  6.63
99579  20 56 34.7  44 55 30  5.96
99602  12 39 03.5  -30 25 20  5.89
99611  20 56 25.5  50 43 43  5.81
99612  20 56 25.9  49 11 45  5.90
99629  20 57 10.4  41 10 2  3.94
99661  20 56 17.0  56 53 15  6.23
99697  20 58 16.4  22 19 33  5.31
99747  11 29 04.6  61 46 42  5.83
99787  11 29 04.2  39 20 13  5.31
99859  11 29 43.5  56 44 15  6.28
99870  20 58 19.5  44 28 18  5.55
99892  20 58 30.8  41 56 25  6.16
99902  11 29 41.9  15 24 48  5.74
99913  11 30 12.9  54 21 42  6.41
99945  11 31 50.4  81 7 38  6.15
99955  20 58 30.1  50 27 44  5.61
99967  11 30 25.0  46 39 27  6.35
99984  11 30 31.1  43 10 24  5.94
100141  12 39 14.8  -7 59 44  4.66
100202  12 39 55.6  -66 30 42  6.26
100492  22 8 23.0  -32 59 19  4.50
100562  22 11 55.3  -76 6 58  6.15
100662  22 8 26.0  -34 2 38  4.99
100732  12 39 52.5  -39 59 15  4.64
100741  22 7 28.6  19 28 32  5.75
100901  22 7 30.0  18 0 2  6.35
101112  22 8 42.7  -33 7 32  6.37
101911  22 8 59.0  -18 31 11  5.81
102042  22 9 58.0  -48 6 26  6.43
102712  22 9 55.7  -34 0 53  5.37
102872  12 41 23.0  -46 8 44  5.84
103001  22 10 00.1  -28 17 33  6.44
103022  22 10 08.8  -32 32 54  4.92
103042  12 41 31.0  -48 57 35  2.17
103112  12 42 05.1  -69 24 27  6.33
103171  12 41 16.0  -13 0 49  6.08
103181  12 41 16.2  -13 0 54  5.98
103352  12 41 56.6  -59 41 9  4.93
103771  12 41 34.4  10 25 35  6.19
103791  12 41 39.6  -1 26 58  3.65
103801  12 41 39.6  -1 26 58  3.68
103851  12 41 49.2  -19 45 31  6.03
104111  12 41 53.1  10 14 8  4.88
104181  22 10 12.0  6 11 52  3.53
104191  22 10 21.1  -3 53 39  6.27
104231  12 41 57.1  6 48 24  5.59
104241  22 10 37.5  -11 33 54  5.46
104322  12 42 50.3  -63 3 31  5.31
104341  22 10 33.8  -4 16 2  6.01
104582  12 42 35.4  -48 48 47  4.66
104601  22 10 19.0  19 37 1  6.18
104611  22 10 22.2  14 37 48  6.33
104612  12 42 49.6  -55 56 50  6.08
104641  22 11 02.4  -21 13 57  6.09
105021  22 10 37.4  11 37 28  5.78
105062  12 43 09.1  -56 10 34  6.00
105322  12 43 28.2  -58 54 11  6.40
105752  12 43 26.3  -40 10 40  6.44
106461  12 43 38.1  -1 34 37  5.93
106532  12 43 58.7  -36 20 57  6.39
106661  12 44 00.5  -28 19 26  5.48
107021  22 11 51.3  16 2 26  5.95
107051  22 12 25.8  -14 11 38  6.03
107162  12 45 01.7  -68 49 52  6.16
107391  22 12 57.5  -26 19 40  6.17
107631  22 12 43.8  -4 43 15  6.39
108292  12 45 37.9  -60 58 52  4.69
108481  22 13 44.4  -25 10 51  5.58
108532  22 17 50.5  -77 30 42  5.51
108792  12 46 16.9  -68 6 29  3.05
109182  22 14 38.6  -41 22 54  6.23
109341  22 14 18.8  -27 46 1  5.43
109511  12 45 37.1  7 40 24  5.22
109562  12 46 22.7  -56 29 20  4.65
109601  22 14 18.0  -21 4 27  5.32
109672  22 20 01.5  -80 26 23  5.10
110281  12 46 22.5  9 32 24  5.67
110322  12 46 46.0  -33 18 56  5.86
110532  22 15 35.1  -44 27 7  6.10
110671  12 46 38.7  16 34 39  5.12
110882  22 15 36.9  -41 20 48  4.79
111232  12 47 43.2  -59 41 19  1.25
111331  12 47 02.3  5 57 3  6.34
111641  12 47 13.6  11 57 29  6.07
111991  12 47 33.4  -6 18 7  6.26
112022  22 16 26.6  -41 37 39  5.10
112261  12 47 53.7  -24 51 6  6.44
112391  12 47 51.4  3 34 22  6.41
112871  22 15 59.8  8 32 58  6.21
112911  22 16 37.4  -25 53 54  6.15
112951  12 48 26.4  -27 35 51  5.66
113081  12 48 14.3  13 33 11  6.56
113152  12 49 44.9  -71 59 11  5.55
113561  22 16 33.6  -1 35 47  6.15
113611  22 16 48.1  -12 49 53  5.34
113641  22 16 59.8  -23 8 24  6.17
113911  22 16 50.0  -7 47 0  4.16
113921  22 16 52.6  -9 2 24  5.79
113971  12 48 54.2  14 7 21  5.70
114152  22 18 15.6  -53 37 40  5.37
114162  22 18 30.1  -60 15 35  2.86
114341  22 17 06.5  -5 23 14  5.75
114632  12 50 12.0  -60 24 3  6.75
114822  12 54 58.6  -85 7 24  5.46
115192  12 50 19.6  -48 27 35  6.24
115392  22 31 37.4  -85 58 2  5.77
115751  22 18 04.3  0 14 16  6.39
115882  12 50 57.9  -52 47 15  5.73
115972  12 50 41.2  -33 59 58  4.91
116132  12 51 17.8  -60 19 47  5.72
116761  22 19 00.8  -13 18 18  5.95
117201  12 51 22.9  -10 20 18  6.41
117262  22 20 36.2  -57 30 36  6.34
117651  12 51 36.9  3 3 24  6.02
117742  12 51 56.8  -39 40 51  5.98
117752  12 52 05.3  -48 5 39  6.33
117861  12 51 57.9  -26 44 17  6.15
117902  12 52 24.6  -53 49 46  6.24
118381  22 20 11.9  -7 49 16  5.37
118621  12 52 12.3  17 4 26  6.32
118842  12 53 03.9  -54 57 9  5.93
118931  12 52 27.6  16 7 21  6.30
119042  12 53 21.8  -60 19 43  5.76
119152  12 53 06.9  -48 56 36  4.33
119241  22 20 27.6  5 47 22  5.37
119682  12 53 26.2  -40 10 44  4.27
119732  12 53 49.1  -60 22 37  5.90
119761  22 20 55.8  8 11 12  6.17
119981  12 53 11.2  -3 33 11  6.11
119982  22 24 36.8  -72 15 20  5.29
120101  22 21 35.6  -21 35 54  5.13
120442  12 54 22.0  -58 25 50  6.58
120481  12 53 38.1  -4 13 26  6.44
120611  22 21 39.4  -1 23 14  3.84
120761  22 21 31.1  12 12 19  5.01
120782  12 54 39.2  -59 8 48  4.62
120872  22 22 43.9  -45 56 52  6.62
120912  12 54 36.8  -57 10 6  5.17
120922  12 54 35.6  -57 10 40  4.03
120971  12 53 49.7  12 25 7  6.25
121311  12 54 18.7  -11 38 55  6.00
121322  22 23 08.0  -45 55 43  5.62
121421  12 54 21.2  -9 32 20  4.79
121642  12 54 58.5  -44 9 7  5.89
121682  22 25 51.0  -75 0 56  6.04
122112  22 25 10.5  -70 25 54  5.78
122132  12 55 19.4  -42 54 57  5.47
122192  12 56 31.5  -72 11 7  5.93
122442  12 55 57.0  -56 50 10  5.32
122711  22 23 30.9  -24 45 45  5.53
123001  12 55 36.2  3 23 51  3.38
123041  12 55 53.3  -15 19 37  6.17
123201  22 23 32.1  -7 11 40  5.93
123302  22 24 56.4  -57 47 50  5.32
123741  12 56 30.1  -26 27 37  6.62
124041  22 24 06.9  -4 50 13  5.78
124092  12 57 04.4  -51 11 55  5.16
124301  22 24 27.1  -13 31 46  5.76
125191  12 57 33.2  -22 45 14  6.31
125711  22 25 16.6  1 22 39  4.66
125812  22 27 20.0  -64 57 59  4.48
126431  22 26 10.7  -23 40 57  6.29
126701  22 25 40.7  18 26 40  6.26
126971  22 26 34.2  -16 44 29  6.57
126981  22 26 34.4  -16 44 33  6.35
127282  22 28 37.7  -67 29 21  5.55
127541  22 26 37.4  4 23 37  5.75
127691  12 58 55.4  17 24 34  4.78
128461  12 59 39.5  -3 48 43  5.79
129352  13 0 32.6  -33 30 19  6.02
129431  22 27 51.5  4 41 44  4.79
129532  22 28 39.2  -39 7 55  5.47
129852  13 2 16.2  -71 32 56  3.62
129921  13 0 35.9  -3 22 7  5.99
130092  22 29 16.2  -43 29 44  3.97
130221  13 0 38.8  18 22 23  6.20
130511  22 28 49.7  0 1 13  4.59
130521  22 28 50.1  0 1 12  4.42
130802  22 29 45.5  -43 44 58  4.11
130951  13 1 09.6  17 7 23  5.96
131191  22 29 08.0  9 7 44  5.58
131202  13 3 05.2  -71 28 34  6.03
131351  22 29 46.0  -27 6 26  5.95
131981  22 30 01.5  -12 54 54  6.40
132261  13 2 10.6  10 57 33  2.83
132351  22 29 58.0  4 25 54  5.48
132361  22 30 17.4  -14 35 9  6.37
132961  22 30 53.7  -26 4 25  6.43
133142  13 3 33.2  -49 31 38  4.85
133201  22 30 38.8  -10 40 41  4.82
133982  22 31 30.3  -32 20 46  4.29
134022  22 35 26.4  -78 46 18  6.15
134151  13 3 46.1  -20 34 59  5.58
134281  22 31 18.4  -2 54 40  6.16
134291  22 31 18.4  -6 33 18  6.14
134422  22 33 00.1  -61 58 56  4.81
134591  13 3 54.4  -3 39 48  6.59
134641  22 31 41.3  -10 54 20  6.38
135232  13 4 48.1  -41 11 48  6.26
136022  13 5 30.8  -52 6 54  6.43
136171  22 32 35.5  20 13 48  6.42
136441  22 32 46.9  15 51 48  6.32
137032  13 6 16.7  -48 27 49  4.71
137782  13 6 35.1  -41 35 19  5.59
137891  22 34 02.9  -1 34 27  5.89
137912  13 6 54.6  -49 54 22  4.27
138232  13 7 24.2  -59 51 38  5.99
138451  22 34 41.6  -20 42 30  5.20
138522  13 6 54.3  -35 51 43  6.54
138842  22 35 52.9  -57 53 1  6.23
139022  13 7 38.3  -53 27 35  5.71
139042  13 8 07.0  -65 18 23  5.51
139861  22 35 36.5  -23 59 28  5.97
139981  22 35 21.4  0 7 3  4.02
140381  13 7 53.8  -10 44 25  5.19
140852  22 36 29.3  -40 34 58  6.28
141131  13 8 32.5  -8 59 4  5.55
141222  22 36 35.4  -31 39 50  5.82
141491  13 9 03.3  -23 7 5  4.95
141502  22 36 58.8  -40 35 28  5.86
142031  13 9 14.4  -9 32 18  6.32
142031  22 36 36.4  11 41 49  6.40
142561  13 9 12.4  10 1 20  5.78
142871  13 9 45.3  -10 19 46  5.94
142981  22 37 04.7  12 34 38  6.30
143261  13 9 47.8  16 50 55  5.91
143301  13 9 57.0  -5 32 20  4.38
143652  13 10 58.4  -52 34 1  6.06
143712  13 11 51.6  -69 56 31  5.91
143761  22 37 45.4  -4 13 41  5.03
143781  13 9 59.3  17 31 46  5.22
143791  13 9 59.3  17 31 46  5.22
144352  13 11 08.8  -42 13 59  5.79
144412  22 39 08.4  -52 41 32  6.65
144481  22 38 22.2  -7 53 52  6.23
144612  13 11 53.1  -63 18 10  6.33
144621  22 38 44.7  -28 44 52  6.47
144742  13 11 23.2  -43 22 8  5.25
144842  22 38 51.5  -33 4 53  5.66
145292  13 12 17.4  -59 55 15  4.60
145332  13 14 17.2  -78 26 50  5.85
145671  22 38 52.6  19 31 20  5.82
145702  13 12 48.9  -66 13 37  5.90
145761  13 11 39.2  -26 33 6  6.50
145991  22 39 44.0  -28 19 31  6.31
146132  13 12 03.2  -37 48 11  4.85
146302  13 12 56.0  -59 49 0  6.16
146322  22 40 48.9  -57 25 20  5.97
146421  13 12 03.5  -16 11 55  5.04
146902  22 40 22.3  -30 39 32  5.87
146981  22 39 47.0  19 40 52  6.21
147072  13 12 50.9  -42 41 59  6.22
147481  22 40 39.4  -27 2 37  4.17
147722  13 13 23.5  -50 42 0  5.89
147801  13 12 32.9  11 33 22  5.77
147931  13 12 35.9  18 45 6  6.53
148101  22 40 48.0  -3 33 15  6.31
148352  13 14 12.1  -58 41 2  5.89
148372  13 14 14.8  -59 6 12  4.92
148461  13 13 26.8  -18 49 36  6.28
148462  22 46 03.3  -81 22 54  4.15
148501  22 40 52.7  14 32 58  5.71
148732  13 13 57.5  -43 8 20  6.16
148891  13 13 12.4  18 43 37  6.11
149112  13 15 14.9  -67 53 40  4.80
149122  13 15 25.7  -69 40 47  6.37
149231  22 41 27.7  10 49 53  3.40
149461  13 14 10.9  -19 55 51  5.33
149522  22 42 40.1  -46 53 5  2.10
149532  22 42 36.9  -47 12 38  5.98
149661  22 42 22.1  -29 21 39  6.17
149712  13 14 43.1  -48 57 24  5.89
149872  22 42 43.1  -44 14 52  6.07
149951  22 41 57.4  14 30 59  5.90
150461  13 14 31.3  11 19 54  5.67
150502  13 15 09.7  -36 22 16  6.19
151042  22 43 30.0  -41 24 52  4.85
151141  22 43 03.5  -8 18 42  6.45
151212  22 44 16.5  -60 29 58  6.30
151431  22 43 14.3  -6 57 46  6.41
151492  13 16 44.8  -65 8 18  6.07
151671  22 43 35.3  -18 49 49  4.69
152021  13 15 58.8  -19 56 35  5.22
152112  13 17 13.0  -66 47 1  4.87
152431  22 43 42.7  10 56 21  6.51
153081  13 16 25.5  -1 23 26  6.68
153102  13 16 53.1  -31 30 22  5.10
153191  13 16 14.3  19 3 6  6.45
153312  13 17 13.9  -43 58 46  5.84
153692  22 45 37.9  -53 30 1  4.85
153831  13 16 46.5  9 25 27  5.22
154052  22 45 40.7  -46 32 51  5.51
154392  13 19 18.9  -72 2 8  6.04
154562  22 46 08.0  -48 58 44  6.62
154781  13 17 15.6  13 40 32  5.33
154881  13 17 29.9  0 40 36  6.37
155042  22 46 28.3  -49 41 9  6.48
155101  22 45 28.2  19 22 0  6.25
155211  13 17 36.3  5 28 11  4.80
155292  13 18 34.6  -51 17 10  6.19
155452  22 46 43.7  -46 56 22  6.56
155732  22 50 22.9  -80 7 27  5.35
156171  13 18 24.3  -18 18 41  4.74
156312  22 49 40.9  -77 3 2  6.73
156481  22 46 41.6  12 10 22  4.19
156591  13 18 55.3  -23 10 18  3.00
156692  22 47 19.1  -34 9 40  6.28
156822  22 48 21.4  -61 41 3  6.37
157091  13 18 51.1  3 41 16  6.62
157211  22 47 33.1  -19 36 48  5.26
157242  22 47 47.1  -38 13 19  6.71
157292  22 49 17.4  -70 20 52  6.34
157661  22 47 42.8  -14 3 23  5.66
157782  13 20 34.9  -59 46 24  6.18
157821  22 47 56.2  -25 54 43  6.30
157892  22 48 33.3  -51 19 1  3.49
158232  13 20 37.8  -52 44 53  5.48
158422  13 20 48.3  -55 48 2  6.02
158741  22 48 30.2  -10 33 20  6.19
158922  13 20 35.8  -36 42 44  2.75
159122  13 20 57.7  -46 52 50  5.77
159672  13 22 52.6  -72 8 48  6.05
159951  13 20 41.6  2 56 30  6.26
160321  22 49 35.5  -13 35 33  4.01
160422  22 49 59.1  -32 48 19  6.33
160481  22 49 32.3  10 28 44  6.54
160611  13 21 29.9  -19 29 20  6.21
160722  13 22 35.7  -60 58 20  6.18
160842  13 22 16.2  -52 10 59  5.83
160872  13 22 37.9  -60 59 18  4.53
161492  22 51 02.2  -39 9 25  5.42
161601  13 21 41.6  2 5 14  5.69
161692  22 51 44.9  -59 52 53  6.46
161872  22 52 09.9  -63 11 19  6.12
161972  13 22 52.7  -47 56 35  6.16
162011  22 50 39.1  19 8 27  6.40
162101  22 51 20.9  -29 32 10  5.97
162262  13 23 02.6  -48 33 46  6.38
162351  13 22 09.7  5 9 17  5.87
162432  13 24 00.5  -64 32 9  4.53
162442  13 25 07.1  -74 53 16  5.05
162782  13 23 08.7  -33 11 24  6.22
162921  13 23 01.1  -17 44 7  5.37
163362  22 52 31.6  -32 52 32  4.46
163382  13 23 52.3  -49 49 23  6.48
163651  13 23 18.9  -4 55 28  5.89
163851  22 52 24.1  9 50 8  5.16
163861  22 52 36.9  -7 34 47  3.74
164352  22 53 37.9  -48 35 53  6.04
164372  22 54 39.4  -70 4 25  6.05
164572  13 25 13.9  -64 29 7  5.31
164582  13 25 50.1  -70 37 39  5.67
164891  22 53 02.3  16 50 28  5.64
164941  22 53 28.7  -11 37 0  5.80
165681  13 24 33.2  -5 9 50  5.75
165792  13 27 18.3  -74 41 31  6.63
165941  13 24 30.5  12 25 55  6.44
166271  22 54 39.0  -15 49 15  3.27
166371  22 54 34.1  -7 12 17  6.19
166401  22 54 45.5  -16 16 19  5.56
166581  13 25 11.6  -11 9 41  0.98
166662  22 55 14.9  -36 23 19  6.40
166721  22 54 35.7  16 56 30  6.12
167011  22 54 59.5  1 3 53  6.11
167132  13 26 07.8  -39 45 19  5.09
167181  22 55 11.0  -4 59 16  5.72
167351  22 55 13.7  8 48 57  4.90
167612  22 55 51.4  -31 37 59  6.10
167632  22 55 56.9  -32 32 23  4.21
168032  22 56 24.0  -31 33 56  6.48
168232  22 56 47.8  -47 58 9  5.70
168311  13 26 11.4  -1 11 33  5.97
168352  13 26 56.1  -41 29 53  5.69
168362  13 27 06.3  -49 8 38  6.31
168622  13 27 20.8  -49 22 51  6.28
168701  13 26 43.2  -12 42 28  5.25
168732  13 27 14.7  -40 9 47  6.40
168902  13 28 46.4  -69 37 41  6.20
169001  22 56 51.5  11 50 54  6.51
169531  22 57 17.2  -4 48 36  6.31
169561  22 57 39.1  -29 37 20  1.16
169761  13 27 27.2  -15 58 25  4.76
170191  22 57 32.8  3 48 37  6.28
170252  13 29 07.6  -64 40 33  6.11
170962  22 58 35.0  -35 31 23  6.13
171071  22 58 15.5  -2 23 43  6.16
171311  22 58 23.7  -1 24 37  6.37
171502  13 29 25.2  -51 9 55  5.06
171661  22 58 35.1  9 21 25  6.43
171761  13 28 25.8  13 46 44  4.98
171861  22 58 42.6  7 20 23  6.33
172321  22 59 11.8  11 43 44  5.75
172361  22 59 35.8  -29 27 44  5.51
172511  22 59 35.7  -13 4 15  6.07
172641  22 59 27.4  0 57 46  5.43
172671  13 29 14.9  -1 21 52  6.43
172871  13 29 42.8  -23 16 53  4.97
173031  23 0 05.8  -25 9 51  5.65
173041  13 29 13.0  10 49 6  5.65
173581  23 0 24.6  -25 37 36  6.29
173602  13 33 14.8  -77 34 6  6.48
173642  23 0 52.8  -52 45 15  4.12
173742  13 40 55.5  -85 47 10  5.58
174032  23 1 07.5  -50 57 0  5.68
174041  13 30 00.1  7 10 44  6.17
174051  13 29 57.6  6 0 48  6.51
174281  23 0 37.9  0 11 9  6.21
174361  13 30 25.7  -6 28 13  6.09
174402  13 31 02.7  -39 24 27  3.88
174591  23 0 42.9  3 0 42  5.83
174841  23 1 19.4  -28 51 13  5.55
174981  23 1 23.0  -22 47 27  6.28
175311  23 1 23.6  -7 3 40  6.21
175581  13 31 33.3  -28 6 46  6.47
175631  23 1 31.7  -4 42 41  5.94
175972  13 32 05.3  -38 23 57  6.16
176422  23 2 34.0  -36 25 15  6.47
176512  13 33 35.7  -65 37 57  6.37
176611  13 32 02.8  -18 43 44  6.01
176751  13 31 57.9  -6 15 21  4.69
177011  23 2 32.6  -6 34 27  6.15
177031  23 2 44.3  -20 52 14  5.97
177161  13 32 35.9  -28 41 34  5.69
177181  13 32 34.5  -29 33 55  6.45
177891  13 32 51.7  -15 21 47  5.55
177922  23 3 29.8  -34 44 58  5.11
178181  13 32 58.1  -10 9 54  5.21
178312  23 4 52.2  -68 49 13  5.52
178331  13 33 00.7  -7 11 42  6.68
178422  23 3 59.5  -41 28 42  5.79
178771  23 3 57.3  -4 47 43  6.68
178911  23 3 52.6  3 49 12  4.53
179022  23 4 39.6  -53 57 54  5.37
179192  13 34 28.9  -48 16 20  6.33
179261  23 4 01.0  6 37 0  6.41
180102  13 34 43.6  -33 18 39  6.44
180221  13 34 07.9  3 39 32  4.94
180451  23 4 45.7  15 12 19  2.49
180541  13 34 40.5  -13 12 52  5.91
180601  23 5 09.8  -7 41 37  5.43
180611  23 5 12.8  -17 4 45  6.14
180981  13 34 41.6  0 35 45  3.37
181011  23 5 06.3  16 33 47  6.44
181031  23 5 17.6  1 18 25  6.39
181082  23 8 23.7  -79 28 51  6.12
182191  13 35 31.3  -5 23 46  5.73
182272  23 6 52.8  -43 31 14  4.28
182351  23 6 18.2  18 31 3  6.13
182401  23 6 40.9  -23 44 35  4.47
182422  23 6 53.6  -38 53 32  5.61
182552  23 7 09.5  -49 36 24  6.33
182611  23 6 31.9  19 54 39  6.30
182612  13 37 12.2  -61 41 31  5.63
182661  13 35 33.3  10 12 17  6.49
182692  23 7 14.7  -50 41 11  5.83
182852  13 39 11.9  -75 41 2  6.34
182882  23 8 35.7  -73 35 11  6.15
183192  13 36 50.5  -34 28 4  6.50
183291  23 7 00.3  9 24 34  4.52
183382  13 37 06.0  -44 8 36  5.98
183442  13 38 45.7  -70 26 42  6.10
183491  13 36 48.4  -26 29 42  5.78
183542  13 37 23.7  -46 25 42  5.90
183842  13 38 07.6  -58 24 54  6.42
184341  23 8 21.0  -28 49 24  5.60
185202  13 38 49.1  -57 37 23  6.01
185222  13 40 00.6  -70 47 18  6.59
185271  23 8 40.9  2 7 40  5.40
185582  23 10 11.7  -66 51 27  6.47
185592  23 12 12.0  -80 54 46  6.41
185941  23 9 26.8  -21 10 21  3.66
186191  23 9 44.6  -28 5 19  5.87
186302  23 9 57.3  -42 51 38  5.81
186341  23 9 31.5  8 40 38  5.12
186391  23 9 49.6  -14 30 38  6.42
186401  23 9 54.8  -22 27 27  4.69
186461  13 38 42.0  -29 33 39  5.83
186552  23 10 09.8  -40 35 30  5.83
186601  13 38 07.9  14 18 6  6.52
186662  13 40 10.9  -64 34 37  5.79
186702  23 10 21.6  -45 14 48  3.90
187001  23 10 01.5  9 49 19  5.39
187162  13 39 53.2  -53 27 59  2.30
187591  23 10 46.6  -29 31 30  6.51
187672  13 39 59.7  -49 57 1  6.00
187812  13 39 40.8  -39 44 53  6.27
187921  23 10 42.6  17 35 40  5.71
187992  13 39 48.6  -40 3 7  5.60
188391  13 39 02.3  18 15 55  6.48
188891  13 39 34.6  10 44 46  5.57
189181  23 11 44.2  8 43 12  5.16
189782  13 42 01.1  -58 47 14  5.38
189912  13 41 44.7  -54 33 36  5.01
190232  23 13 15.0  -49 37 8  6.80
190772  23 14 06.6  -62 42 0  6.12
190861  13 41 30.9  -23 26 59  6.59
190902  13 41 45.7  -33 35 49  6.05
191391  23 13 26.5  11 3 54  5.82
191491  13 41 36.8  -8 42 11  5.01
191592  13 42 56.1  -56 46 5  6.00
191932  13 42 54.6  -50 47 26  6.41
192151  23 14 19.4  -6 2 56  4.22
192502  13 42 55.0  -41 24 4  5.98
192632  23 14 58.6  -41 6 20  5.77
192791  23 14 40.2  -10 41 19  6.12
192881  13 42 12.7  8 23 18  6.16
193612  13 43 40.0  -42 4 3  5.98
194021  23 15 34.3  -3 29 47  5.55
194192  13 44 15.9  -51 0 47  6.47
194251  13 43 03.7  3 32 17  5.36
194491  23 15 53.5  -9 5 16  4.21
194822  23 16 57.7  -62 0 4  5.66
195072  23 16 39.7  -44 29 21  5.92
195312  23 16 49.8  -41 11 40  6.47
195371  13 43 54.3  -5 29 56  6.51
195712  23 17 25.8  -58 14 9  3.99
195722  23 19 08.1  -79 28 22  6.33
195761  23 16 50.9  -7 43 36  5.06
196051  13 44 29.8  -16 10 45  5.60
196151  23 17 09.9  3 16 56  3.69
196231  13 44 45.7  -25 30 3  6.21
196442  23 18 20.0  -67 28 16  6.13
196591  23 17 40.0  -11 42 47  6.34
196881  23 17 54.2  -9 10 57  4.39
196932  23 18 09.9  -40 49 28  5.53
197521  13 45 36.9  -26 6 58  5.81
197562  13 45 41.2  -33 2 38  4.23
197652  23 28 03.7  -87 28 56  5.49
197842  23 18 49.4  -32 31 55  4.41
197861  13 45 35.1  -15 46 3  6.19
197962  13 47 10.7  -62 35 24  6.51
198321  23 18 57.7  -9 36 39  4.98
198341  23 19 06.7  -13 27 32  5.08
198342  13 46 39.3  -51 25 58  4.65
198531  13 45 56.3  -12 25 36  5.51
198771  23 19 24.0  -5 7 28  5.55
198791  23 19 24.1  -18 4 31  5.93
199122  23 19 43.2  -33 42 29  6.37
199212  13 46 56.4  -36 15 7  5.15
199382  13 47 27.6  -50 14 58  5.91
199712  13 47 38.4  -50 19 16  5.45
200032  23 20 50.0  -50 18 24  6.05
200091  23 20 20.6  5 22 53  5.05
200331  13 47 13.5  -9 42 33  6.05
200351  23 20 40.9  -5 54 29  6.17
200521  13 47 25.4  -17 51 36  5.43
200661  13 46 57.1  6 21 2  6.33
200961  23 21 15.5  -26 59 12  5.64
201361  13 47 15.7  17 27 24  4.50
202132  13 55 38.7  -82 39 58  5.95
202372  13 48 55.1  -35 42 14  6.53
202632  23 22 56.9  -60 3 21  6.09
202781  23 22 39.2  -15 2 21  5.20
203072  13 49 30.3  -41 41 16  3.41
203211  23 22 58.2  -20 6 2  3.97
203232  13 49 26.7  -34 27 3  4.19
203242  13 49 37.0  -42 28 26  3.04
203631  23 23 04.6  12 18 50  5.08
203922  23 23 54.3  -53 48 30  6.15
204012  23 23 45.4  -43 7 28  6.10
204042  13 51 47.4  -69 24 5  5.75
204061  23 23 31.9  0 17 29  6.31
204402  23 24 13.1  -51 53 29  5.75
204521  13 49 52.3  -18 8 3  4.97
204551  13 50 06.5  -29 4 53  6.18
204572  13 50 19.4  -39 54 4  6.44
204651  23 24 07.8  -18 41 15  6.19
204771  13 49 28.6  15 47 52  4.07
205441  13 50 34.5  -19 53 50  6.53
205722  23 25 19.4  -56 50 57  5.59
206021  13 50 24.7  5 29 50  6.01
206402  13 51 47.2  -46 53 57  5.77
206422  13 52 04.8  -52 48 42  5.25
206722  13 51 36.6  -36 26 0  6.35
206901  13 51 20.4  -24 23 27  6.45
207041  23 26 02.8  -20 38 31  4.39
207092  13 51 49.6  -32 59 40  4.56
207102  13 51 50.1  -32 59 41  6.06
207292  23 26 36.6  -52 43 18  5.52
207592  13 52 00.9  -31 37 10  6.12
207592  23 27 07.2  -66 34 52  6.45
207902  23 27 15.0  -58 28 34  5.63
208022  23 27 09.1  -50 9 26  6.20
208251  23 26 56.0  1 15 20  4.94
208581  23 27 14.8  1 7 21  6.25
209082  13 53 43.1  -53 22 25  5.89
209132  13 54 48.9  -67 39 9  5.71
209292  23 28 00.7  -35 32 40  6.32
209341  13 52 18.4  12 9 55  6.04
209541  23 27 58.1  6 22 44  4.28
209552  13 53 12.5  -31 55 40  4.73
209571  23 28 05.2  -11 26 59  6.37
209872  13 53 32.8  -35 39 51  5.54
209912  13 53 56.9  -47 7 41  6.10
210062  23 29 01.0  -63 6 39  5.68
210512  23 29 00.8  -44 29 52  6.43
210562  13 53 52.2  -35 18 52  6.19
210811  23 29 00.6  -9 15 58  6.18
211071  13 53 12.9  17 55 58  5.70
211151  23 29 09.3  12 45 38  4.55
211481  23 29 32.1  -4 31 58  6.25
211561  13 54 16.6  -28 34 11  6.04
211902  13 55 12.2  -52 9 40  5.71
212632  13 55 32.4  -47 17 18  2.55
212991  13 54 42.1  -1 30 11  5.15
213081  23 31 01.1  -6 17 18  6.39
213232  23 31 27.0  -44 50 37  6.02
213251  13 54 58.2  -8 3 32  6.19
213362  13 56 19.8  -54 7 55  6.14
213561  23 31 31.5  -4 5 14  6.49
213571  23 31 42.1  -21 22 10  6.29
213701  13 54 41.1  18 23 52  2.68
213842  13 56 33.0  -54 42 16  6.00
213972  13 55 44.5  -31 17 6  6.51
214091  23 31 57.6  -1 5 9  6.38
214162  13 56 19.5  -46 35 33  5.83
214202  23 33 19.5  -77 23 7  5.81
214392  14 0 32.8  -78 35 24  6.09
214742  13 57 38.9  -63 41 12  4.71
215072  23 32 58.3  -37 49 6  4.37
215572  13 58 31.2  -65 48 2  6.20
215601  13 55 50.0  14 3 23  6.16
215651  23 33 16.6  -20 54 52  4.71
216071  13 56 27.9  1 3 2  5.91
216751  23 34 09.0  -1 14 51  5.87
216991  13 57 27.7  -23 1 22  6.14
217402  23 35 12.7  -64 41 22  7.4
217432  13 58 16.3  -42 6 3  3.83
217451  23 34 49.4  -15 14 45  5.96
217602  23 35 04.6  -42 36 54  4.71
217902  13 58 40.8  -44 48 13  3.87
